name,kegg,hmdb
23dpg,C01159,HMDB0001294
2pg,C00631,HMDB0000362
3pg,C00197,HMDB0000807
4abut,C00334,HMDB0000112
5oxpro,C01879,HMDB0000267
6pgc,C00345,HMDB0001316
accoa,C00024,HMDB0001206
acgam6p,C00357,HMDB0001062
adp,C00008,HMDB0001341
agm,C00179,HMDB0001432
ahcys,C00021,HMDB0000939
akg,C00026,HMDB0000208
ala-L,C00041,HMDB0000161
amp,C00020,HMDB0000045
arg-L,C00062,HMDB0000517
asn-L,C00152,HMDB0000168
asp-L,C00049,HMDB0000191
atp,C00002,HMDB0000538
cgly,C01419,HMDB0000078
cit,C00158,HMDB0000094
creat,C00300,HMDB0000064
cys-L,C00097,HMDB0000574
dhap,C00111,HMDB0001473
f6p,C00085,HMDB0000124
fdp,C00354,HMDB0001058
fum,C00122,HMDB0000134
g1p,C00103,HMDB0001586
g6p,C00092,HMDB0001401
glc-D,C00031,HMDB0000122
gln,C00064,HMDB0000641
glu,C00025,HMDB0000148
gly,C00037,HMDB0000123
glyc-R,C00258,HMDB0000139
gthox,C00127,HMDB0003337
gthrd,C00051 ,HMDB0000125
lac-L,C00186,HMDB0000190
mal-L,C00149,HMDB0000156
nad,C00003,HMDB0000902
nadh,C00004,HMDB0001487
nadp,C00006,HMDB0000217
orn,C00515,HMDB0003374
pep,C00074,HMDB0000263
pi,C00009,HMDB0001429 
ppi,C00013,HMDB0000250
pro-L,C00148,HMDB0000162
prpp,C00119,HMDB0000280
pser-L,C01005,HMDB0000272
ptrc,C00134,HMDB0001414
pyr,C00022,HMDB0000243
r5p,C00117,HMDB0001548
rbl-D,C00309,HMDB0000621
rbt,C00474,HMDB0000508
rib-D,C00121,HMDB0000283
ru5p-D,C00199,HMDB0000618
s7p,C05382,HMDB0001068
ser-L,C00740,HMDB0003406
succ,C00042,HMDB0000254
xu5p-D,C00231,HMDB0000868
3php,C03232,HMDB0001024
gudac,C00581,HMDB0000128
amet,C00019,HMDB0001185
urea,C00086,HMDB0000294
6pgl,C01236,HMDB0001127
g3p,C00118,HMDB0001112
13dpg,C00236,HMDB0001270
nadph,C00005,HMDB0000221
r1p,C00620,HMDB0001489
e4p,C00279,HMDB0001321
icit,C00311,HMDB0000193
oaa,C00036,HMDB0000223
gtp,C00044,HMDB0001273
gdp,C00035,HMDB0001201
glu5sa,C01165,HMDB0002104
gam6p,C00352,HMDB0001254
glucys,C00669,HMDB0001049
